OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Address with USA,Latitude,Longitude,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
1111700,Alliant International University,"679,282.00","339,641.00","10455 Pomerado Road, San Diego, California 92131","10455 Pomerado Road, San Diego, California 92131, USA",32.8965805,-117.0944537,"4-year, Private for-profit",3536,631,16%,
2330500,Laguna College Of Art And Design,"661,479.00","330,740.00","2222 Laguna Canyon Rd, Laguna Beach, California 92651","2222 Laguna Canyon Rd, Laguna Beach, California 92651, USA",33.56135,-117.7726345,"4-year, Private not-for-profit",834,784,57%,
2063500,Coastline Community College,"634,209.00","317,105.00","11460 Warner Ave., Fountain Valley, California 92708-2597","11460 Warner Ave., Fountain Valley, California 92708-2597, USA",33.7156586,-117.9292023,"2-year, Public",10822,10822,23%,10%
117200,Pitzer College,"625,861.00","312,931.00","1050 North Mills Avenue, Claremont, California 91711-6101","1050 North Mills Avenue, Claremont, California 91711-6101, USA",34.1036159,-117.7038664,"4-year, Private not-for-profit",1086,1086,85%,
2270600,Life Pacific University,"606,084.00","303,042.00","1100 W. Covina Blvd., San Dimas, California 91773-3298","1100 W. Covina Blvd., San Dimas, California 91773-3298, USA",34.0987652,-117.829457,"4-year, Private not-for-profit",552,459,45%,
902200,Associated Technical College,"602,768.00","301,384.00","1670 Wilshire Blvd, Los Angeles, California 90017-1604","1670 Wilshire Blvd, Los Angeles, California 90017-1604, USA",34.0561128,-118.2724303,"< 2-year, Private for-profit",335,335,52%,
859700,Feather River College,"599,153.00","299,577.00","570 Golden Eagle Ave, Quincy, California 95971-9124","570 Golden Eagle Ave, Quincy, California 95971-9124, USA",39.9521546,-120.9643281,"4-year, primarily associate's, Public",2058,2058,27%,42%
4195400,Unitek College,"598,178.00","299,089.00","21615 Hesperian Boulevard, Hayward, California 94541-7026","21615 Hesperian Boulevard, Hayward, California 94541-7026, USA",37.6605785,-122.1157851,"< 2-year, Private for-profit",153,153,84%,
117600,West Hills Community College,"592,666.00","296,333.00","300 Cherry Lane, Coalinga, California 93210","300 Cherry Lane, Coalinga, California 93210, USA",36.1478043,-120.3570364,"2-year, Public",4198,4198,30%,13%
4141400,Laurus College,"591,076.00","295,538.00","81 Higuera St Ste 110, San Luis Obispo, California 93401","81 Higuera St Ste 110, San Luis Obispo, California 93401, USA",35.2682325,-120.6702264,"4-year, primarily associate's, Private for-profit",878,878,82%,3%
4146000,National Career College,"589,577.00","294,789.00","14355 Roscoe Blvd, Panorama City, California 91402","14355 Roscoe Blvd, Panorama City, California 91402, USA",34.2224849,-118.4461963,"2-year, Private for-profit",317,317,69%,
4003300,Blake Austin College,"581,595.00","290,798.00","611 Orange Dr Ste K, Vacaville, California 95687","611 Orange Dr Ste K, Vacaville, California 95687, USA",38.378565,-121.945434,"< 2-year, Private for-profit",337,337,24%,2%
3440400,Marian Health Careers Center,"575,634.00","287,817.00","3325 Wilshire Blvd Ste 1010, Los Angeles, California 90010","3325 Wilshire Blvd Ste 1010, Los Angeles, California 90010, USA",34.06206,-118.294931,"< 2-year, Private for-profit",210,210,55%,
