OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
2520400,Adrians Beauty College Of Turlock,"213,440.00","106,720.00","1340 W Main St, Turlock, California 95380","< 2-year, Private for-profit",90.0,90.0,74%,
129500,Southwestern Law School,"212,120.00","106,060.00","3050 Wilshire Boulevard, Los Angeles, California 90010-1106","4-year, Private not-for-profit",819.0,,,
4215100,California Career Institute,"211,121.00","105,561.00","1240 S State College BLVD Ste. 135, Anaheim, California 92806","< 2-year, Private for-profit",147.0,147.0,71%,
2578000,Santa Barbara Business College,"208,381.00","104,191.00","303 E Plaza Dr Ste 1, Santa Maria, California 93454","4-year, primarily associate's, Private for-profit",89.0,89.0,52%,5%
3084700,Ventura Adult And Continuing Education,"207,297.00","103,649.00","5200 Valentine Rd, Ventura, California 93003-0000","< 2-year, Public",97.0,97.0,94%,
4274900,Contra Costa Medical Career College,"206,180.00","103,090.00","4041 Lone Tree Way, Antioch, California 94581-6208","2-year, Private for-profit",701.0,701.0,100%,
3126800,Pacifica Graduate Institute,"204,263.00","102,132.00","249 Lambert Rd, Carpinteria, California 93013","4-year, Private for-profit",829.0,,,
4175400,Elite Cosmetology School,"200,776.00","100,388.00","56300 Twentynine Palms Highway, Suite 113, Yucca Valley, California 92284-2860","< 2-year, Private for-profit",113.0,113.0,57%,
4242500,Associated Barber College Of San Diego,"199,340.00","99,670.00","1333 5th Avenue, San Diego, California 92101-4210","< 2-year, Private for-profit",65.0,65.0,93%,
4249600,Westcliff University,"199,036.00","99,518.00","17877 Von Karman Ave, Suite 400, Irvine, California 92614","4-year, Private for-profit",2608.0,781.0,,
4159700,American Medical Sciences Center,"198,625.00","99,313.00","225 West Broadway, Suite 410, Glendale, California 91204-5108","2-year, Private for-profit",64.0,64.0,74%,
448400,John F. Kennedy University,"196,815.00","98,408.00","100 Ellinwood Way, Pleasant Hill, California 94523-4817","4-year, Private not-for-profit",1125.0,373.0,,
1310300,California Western School Of Law,"196,710.00","98,355.00","225 Cedar St, San Diego, California 92101-3046","4-year, Private not-for-profit",793.0,,,
